sample	kind	channel	note	velocity
0	on	10	36	110
2880	off	10	36	0
24000	on	10	37	85
26880	off	10	37	0
48000	on	10	37	85
50880	off	10	37	0
72000	on	10	37	85
74880	off	10	37	0
96000	on	10	36	110
98880	off	10	36	0
120000	on	10	37	85
122880	off	10	37	0
144000	on	10	37	85
146880	off	10	37	0
168000	on	10	37	85
170880	off	10	37	0
192000	on	10	36	110
194880	off	10	36	0
216000	on	10	37	85
218880	off	10	37	0
240000	on	10	37	85
242880	off	10	37	0
264000	on	10	37	85
266880	off	10	37	0
288000	on	10	36	110
290880	off	10	36	0
312000	on	10	37	85
314880	off	10	37	0
336000	on	10	37	85
338880	off	10	37	0
360000	on	10	37	85
362880	off	10	37	0
384000	on	10	36	110
386880	off	10	36	0
408000	on	10	37	85
410880	off	10	37	0
432000	on	10	37	85
434880	off	10	37	0
456000	on	10	37	85
458880	off	10	37	0
479232	on	2	36	74
479232	off	10	36	0
479232	off	10	37	0
479527	on	10	36	127
479572	on	10	53	116
485232	on	2	36	74
485232	off	2	36	0
485527	off	10	36	0
485572	off	10	53	0
491231	on	2	36	74
491232	off	2	36	0
492041	on	10	42	93
497231	off	2	36	0
497232	on	2	36	74
498041	off	10	42	0
503232	on	2	36	74
503232	off	2	36	0
503831	on	10	38	127
509231	on	2	36	74
509232	off	2	36	0
509831	off	10	38	0
515231	on	2	36	74
515231	off	2	36	0
516095	on	10	42	100
521231	on	2	36	74
521231	off	2	36	0
522095	off	10	42	0
527231	off	2	36	0
527232	on	2	36	74
527905	on	10	36	127
533232	on	2	36	74
533232	off	2	36	0
533905	off	10	36	0
539231	on	2	36	74
539232	off	2	36	0
539825	on	10	42	87
545231	off	2	36	0
545232	on	2	36	74
545825	off	10	42	0
551231	on	2	36	74
551232	off	2	36	0
551725	on	10	38	127
557231	off	2	36	0
557232	on	2	36	74
557725	off	10	38	0
563231	on	2	36	74
563232	off	2	36	0
563971	on	10	42	107
569231	off	2	36	0
569232	on	2	36	74
569971	off	10	42	0
575232	on	2	36	74
575232	off	2	36	0
576068	on	10	36	127
581232	on	2	36	74
581232	off	2	36	0
582068	off	10	36	0
587232	on	2	36	74
587232	off	2	36	0
587782	on	10	46	108
593231	on	2	36	74
593232	off	2	36	0
599231	on	2	36	74
599231	off	2	36	0
600063	on	10	38	127
605231	off	2	36	0
605232	on	2	36	74
