sample	kind	channel	note	velocity
0	on	10	36	110
2880	off	10	36	0
24000	on	10	37	85
26880	off	10	37	0
48000	on	10	37	85
50880	off	10	37	0
72000	on	10	37	85
74880	off	10	37	0
96000	on	10	36	110
98880	off	10	36	0
120000	on	10	37	85
122880	off	10	37	0
144000	on	10	37	85
146880	off	10	37	0
168000	on	10	37	85
170880	off	10	37	0
192000	on	10	36	110
194880	off	10	36	0
216000	on	10	37	85
218880	off	10	37	0
240000	on	10	37	85
242880	off	10	37	0
264000	on	10	37	85
266880	off	10	37	0
288000	on	10	36	110
290880	off	10	36	0
312000	on	10	37	85
314880	off	10	37	0
336000	on	10	37	85
338880	off	10	37	0
360000	on	10	37	85
362880	off	10	37	0
384000	on	10	36	110
386880	off	10	36	0
408000	on	10	37	85
410880	off	10	37	0
432000	on	10	37	85
434880	off	10	37	0
456000	on	10	37	85
458880	off	10	37	0
480000	on	10	36	110
482880	off	10	36	0
504000	on	10	37	85
506880	off	10	37	0
528000	on	10	37	85
530880	off	10	37	0
552000	on	10	37	85
554880	off	10	37	0
576000	on	10	36	110
578880	off	10	36	0
600000	on	10	37	85
602880	off	10	37	0
624000	on	10	37	85
626880	off	10	37	0
648000	on	10	37	85
650880	off	10	37	0
672000	on	10	36	110
674880	off	10	36	0
696000	on	10	37	85
698880	off	10	37	0
720000	on	10	37	85
722880	off	10	37	0
744000	on	10	37	85
746880	off	10	37	0
768000	on	10	36	110
770880	off	10	36	0
792000	on	10	37	85
794880	off	10	37	0
816000	on	10	37	85
818880	off	10	37	0
840000	on	10	37	85
842880	off	10	37	0
864000	on	10	36	110
866880	off	10	36	0
888000	on	10	37	85
